ID	sex	organ
S31	F	Liver
S32	F	Liver
S33	F	Liver
S34	F	Liver
S35	F	Liver
S36	M	Liver
S37	M	Liver
S38	M	Liver
S39	M	Liver
S40	M	Liver
S41	F	Gill
S42	F	Gill
S43	F	Gill
S44	F	Gill
S45	F	Gill
S46	M	Gill
S47	M	Gill
S48	M	Gill
S49	M	Gill
S50	M	Gill
S51	F	Gonad
S53	F	Gonad
S54	F	Gonad
S55	F	Gonad
S56	M	Gonad
S57	M	Gonad
S58	M	Gonad
S59	M	Gonad
S60	M	Gonad
S61	M	Gonad
S62	M	Gonad
S63	M	Gonad
S64	F	Gonad
S65	F	Gonad
S66	F	Gonad
