"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","mate_success","repo_fit","Organ","Sex"
"FLG2F7",-207.998420017519,142.570743329027,4.26812614934229,-23.3660831368101,3.84590134527763,-21.3725316649481,22.2480657176679,-7.36869412725507,-58.1855980709714,5.97915844280811,6.94702680310177,15.184702439267,-13.7128265700765,-10.6799531900967,6.2727448237358,10.2456545767331,46.6785881440032,-78.3367149530603,-34.6087520903427,-39.6563960312319,-6.82739612489705,27.0600515172757,31.6905702121839,27.0906715878377,1.25299891868388,1.64424841430077,-58.1183881980552,29.4770120293089,9.74880675250439e-12,1,169,"Gill","F"
"FLG3F1",-208.423543024381,140.067328600752,-1.68048729716048,-32.8256318588353,-185.623775534231,131.888899855473,33.3838063770087,-2.75741043287368,5.71528409055799,11.4618362934518,18.4010428181611,-32.4806349471009,9.55642294988514,4.0153061980763,8.73593895795562,19.9156651946322,-6.98602282634651,9.68296359826532,-9.41088652502919,-10.942000309582,16.4335364739002,-13.4324100678398,17.3651423546073,-15.3098003385939,0.421698801695444,0.0358971861379665,11.1605808913273,-0.114970348279773,2.39705562053738e-12,1,88,"Gill","F"
"FLG3F2",-192.540306038072,134.338211202094,4.74043698798686,-12.5742545622581,14.9002521029307,-81.2960546022254,45.8011738424311,-33.715152481169,-25.9995884846562,-29.0837202563769,6.96577019599894,14.7589224685101,13.4032541322296,-3.94018033173422,33.6215179939287,17.2949962857743,-27.2684033939098,79.1504957798577,-43.4346067697585,11.4689892046554,10.8600665045965,26.9533583859461,47.6644927235825,45.9343032876233,-3.39406537455577,7.36816851229247,34.3132891954428,6.04750571523083,1.77466932954075e-12,3,762,"Gill","F"
"FLG3M5",-223.741894830571,157.286037615517,8.20310786161296,-41.2369730704345,34.5770720428021,-21.5288924453395,-0.110937217732727,14.399305015115,-6.47951281943804,-26.3701021862328,-35.8131657422623,-15.8010995065708,13.9928842491689,-24.3746946730694,4.16729491407151,-7.86319699552203,-1.40858182004297,-27.8411995388309,-6.09988958206796,46.5685568860966,6.39111432174642,-37.9184539849502,-9.66856325969694,-33.7533828212212,66.8022763221455,71.4400624124363,9.09443524750954,-7.49379219589341,4.45828839679683e-12,1,285,"Gill","M"
"FLG3M7",-185.308170142627,116.274873143051,6.33924765329691,-7.06731044738026,23.5455554222689,-54.2041951332122,66.2470173244125,5.10507543336969,-6.16399639347815,0.136824646639673,17.8907886051903,32.5103158828748,-13.9251583916063,-26.3653692780305,11.2873521469063,-1.02707504873819,-16.5000031676975,-1.46139174488886,61.2413275518351,-31.902897160952,8.81684714122925,-34.7795626078236,3.72201988350298,-33.4562849117644,38.9288016395534,-77.3316306010663,5.88045887874386,-9.5849818107486,8.17141581450301e-13,2,467,"Gill","M"
"FLG3M8",-212.886945011639,148.600238502848,5.81679779659957,-34.965929484213,42.5225787091517,-23.8078051753747,0.531109542674632,8.09585397153184,5.28286234528657,-5.78388727879686,-15.1622852951239,25.2374156114825,-7.01726111573502,45.2678688316952,-1.6912085716357,25.7210256240101,-4.56046929725571,-7.45572601499803,23.3173783618562,3.47192949738123,18.3236161924474,3.29085620921391,3.0452962201416,-65.5443343161535,-95.7002326890728,21.6033345435788,1.62825168811519,-5.24696290087761,1.40153648981053e-12,2,500,"Gill","M"
"FLG4M3",-194.93645224793,138.88767301386,3.98806653227203,-19.673257979533,-25.5774401905609,16.1954625531335,36.6620586551524,-29.8303068652697,-14.5896761481337,-45.2760241133877,21.687121661218,11.6065035584832,-29.7565375482101,8.85080280277892,-18.3981600803187,-38.8398551824598,1.94110039456812,-2.0094118663658,38.2346274167228,45.07791672967,-48.1369074200401,30.7369165533221,-83.4053736603302,46.6644351173667,-14.7071063539386,-4.0073520916073,-2.28998483533142,-7.74137174822765,4.64431733698746e-12,1,427,"Gill","M"
"FLG4M4",-154.248239719874,63.5006279499013,-33.7567337069654,417.813165230767,8.43041122959634,10.8416724819726,-28.5231937737539,10.2541073549466,13.3742161586415,11.9302285368147,-3.67691262794817,-5.0893989580189,4.4562737310359,1.67084392442844,-5.31847440322368,-2.4304550470671,-0.154708693896599,1.14670131230886,-3.45037346590276,-0.404802170773638,-0.562204799150606,-1.25225367015123,-1.14435176839298,1.50642912230028,0.0512638621381233,1.16937925797886,-0.354107972416959,-0.0850367887091097,5.41362639531204e-13,2,156,"Gill","M"
"FLG8F3",-279.158213003113,211.128454976093,1.60315743682224,-107.083202807182,65.8583240294639,35.466189832877,-138.008053903759,36.151199212035,63.6016965360393,62.5093233151847,-11.5546959506159,-27.9592239975059,21.3014716587152,5.85891773830097,-28.3035783273049,-21.5485974343143,0.680002501251539,23.1099908957006,-13.6459134034697,-19.320835853508,-1.6928705893541,2.66196028846477,-5.6539572825054,26.493821425721,6.44958078875716,-26.6356158440032,1.51051793519522,-2.82893612069666,1.92464364825768e-12,0,0,"Gill","F"
"FLL2F7",244.109399755463,81.8016155573522,-11.5206415865593,-2.86001652782286,7.00370136715149,9.34957649349489,-58.4081574695775,63.8972101801664,-180.676296380455,26.693053882757,58.067356608199,-20.6856940916908,-2.61384651857718,2.08032255712314,-17.2347167428679,3.56345466145174,-20.5089365459061,24.7342460256574,8.0389318166604,12.3766371567992,4.47965418304304,-9.9738724105482,-7.99893569682719,-9.78663659540202,-0.882474916713472,-0.359912295289167,-2.7200813381142,4.17094302403922,-3.15729137373932e-12,1,169,"Liver","F"
"FLL3F1",246.896789765891,85.2214718043687,-2.47798100989989,-6.17027008255048,-85.6886313063444,-30.4444876203387,-49.0783704149419,51.3398737077778,12.7661179947725,-17.4479114776236,-51.2041127065538,138.741808817908,69.7546732375842,-35.5158361509066,3.51344694398228,-15.8055765733264,10.1708719354829,0.577241864771251,-8.46801896653733,-4.88083921041349,-15.8122139915067,0.290674343128052,-10.8996513748737,-1.66407977744734,-4.54041980171871,-0.960884540076604,4.90986026762102,5.30063116734976,-1.42981715131455e-12,1,88,"Liver","F"
"FLL3F2",212.550512213894,75.4316898010091,4.77733097101649,-0.84551738929018,-65.8426761231429,-119.603678417554,-36.7781484604262,-87.8033294799648,27.3627976223569,9.76743295596575,40.9234755164744,-77.2747068757446,86.100789889006,38.7534380689238,-14.022788211173,-3.07257875591932,5.55450804477245,-27.9173368154469,28.8474414375857,0.454307485150235,3.74506672554021,2.97919563242045,-0.339607935390429,-2.11839723186839,1.39924368451674,-0.761617522058064,2.38554303553202,5.02869050749331,-3.2661819721004e-12,3,762,"Liver","F"
