ID	Sex	Organ
FLG2F7	F	Gill
FLG3F1	F	Gill
FLG3F2	F	Gill
FLG3M5	M	Gill
FLG3M7	M	Gill
FLG3M8	M	Gill
FLG4M3	M	Gill
FLG4M4	M	Gill
FLG8F3	F	Gill
FLL2F7	F	Liver
FLL3F1	F	Liver
FLL3F2	F	Liver
FLL3F4	F	Liver
FLL3M5	M	Liver
FLL3M7	M	Liver
FLL3M8	M	Liver
FLL4M3	M	Liver
FLL4M4	M	Liver
FLL8F3	F	Liver
FLO2F7	F	Gonad
FLO3F1	F	Gonad
FLO3F2	F	Gonad
FLO3F4	F	Gonad
FLO8F3	F	Gonad
FLT2M3	M	Gonad
FLT3M5	M	Gonad
FLT4M4	M	Gonad
FLT5M3	M	Gonad
FLT8M7	M	Gonad
